coprd_company_code|company_name|coprd_date|mr_info_full_name|coprd_industry_code|coprd_industry_name|nic_prod_code|nic_name|coprd_owner_code|owner_gp_name
5747|ADANI ENTERPRISES LTD.|30-06-1999|Interim financials|0101040401000000|Wholesale trading|46209|Whole sale of other agriculture raw materials n.e.c.|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|30-09-1999|Interim financials|0101040401000000|Wholesale trading|46209|Whole sale of other agriculture raw materials n.e.c.|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|31-12-1999|Interim financials|0101040401000000|Wholesale trading|46209|Whole sale of other agriculture raw materials n.e.c.|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|31-03-2000|Annual Report|0101040401000000|Wholesale trading|46209|Whole sale of other agriculture raw materials n.e.c.|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|30-06-2000|Interim financials|0101040401000000|Wholesale trading|46209|Whole sale of other agriculture raw materials n.e.c.|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|30-09-2000|Interim financials|0101040401000000|Wholesale trading|46209|Whole sale of other agriculture raw materials n.e.c.|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|31-12-2000|Interim financials|0101040401000000|Wholesale trading|46209|Whole sale of other agriculture raw materials n.e.c.|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|31-03-2001|Annual Report|0101040401000000|Wholesale trading|46209|Whole sale of other agriculture raw materials n.e.c.|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|30-06-2001|Interim financials|0101040401000000|Wholesale trading|46102|Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|30-09-2001|Interim financials|0101040401000000|Wholesale trading|46102|Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|31-12-2001|Interim financials|0101040401000000|Wholesale trading|46102|Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|31-03-2002|Annual Report|0101040401000000|Wholesale trading|46102|Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|30-06-2002|Interim financials|0101040401000000|Wholesale trading|46102|Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|30-09-2002|Interim financials|0101040401000000|Wholesale trading|46102|Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|31-12-2002|Interim financials|0101040401000000|Wholesale trading|46102|Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|31-03-2003|Annual Report|0101040401000000|Wholesale trading|46102|Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|30-06-2003|Interim financials|0101040401000000|Wholesale trading|46102|Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|30-09-2003|Interim financials|0101040401000000|Wholesale trading|46102|Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|31-12-2003|Interim financials|0101040401000000|Wholesale trading|46102|Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|31-03-2004|Annual Report|0101040401000000|Wholesale trading|46102|Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|30-06-2004|Interim financials|0101040401000000|Wholesale trading|46102|Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|30-09-2004|Interim financials|0101040401000000|Wholesale trading|46102|Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|31-12-2004|Interim financials|0101040401000000|Wholesale trading|46102|Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|31-03-2005|Annual Report|0101040401000000|Wholesale trading|46102|Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|30-06-2005|Interim financials|0101040401000000|Wholesale trading|46102|Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|30-09-2005|Interim financials|0101040401000000|Wholesale trading|46102|Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|31-12-2005|Interim financials|0101040401000000|Wholesale trading|46102|Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|31-03-2006|Annual Report|0101040401000000|Wholesale trading|46102|Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|30-06-2006|Interim financials|0101040401000000|Wholesale trading|46102|Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|30-09-2006|Interim financials|0101040401000000|Wholesale trading|46102|Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|31-12-2006|Interim financials|0101040401000000|Wholesale trading|46102|Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|31-03-2007|Annual Report|0101040401000000|Wholesale trading|46102|Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|30-06-2007|Interim financials|0101016000000000|Diversified manufacturing|34|Diversified|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|30-09-2007|Interim financials|0101016000000000|Diversified manufacturing|34|Diversified|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|31-12-2007|Interim financials|0101016000000000|Diversified manufacturing|34|Diversified|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|31-03-2008|Annual Report|0101016000000000|Diversified manufacturing|34|Diversified|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|30-06-2008|Interim financials|0110000000000000|Diversified|34|Diversified|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|30-09-2008|Interim financials|0110000000000000|Diversified|34|Diversified|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|31-12-2008|Interim financials|0110000000000000|Diversified|34|Diversified|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|31-03-2009|Annual Report|0110000000000000|Diversified|34|Diversified|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|30-06-2009|Interim financials|0101012520000000|Gems & jewellery|24205|Production and refining of precious metals (such as gold, silver platinum etc.) and alloys|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|30-09-2009|Interim financials|0101012520000000|Gems & jewellery|24205|Production and refining of precious metals (such as gold, silver platinum etc.) and alloys|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|31-12-2009|Interim financials|0101012520000000|Gems & jewellery|24205|Production and refining of precious metals (such as gold, silver platinum etc.) and alloys|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|31-03-2010|Annual Report|0101012520000000|Gems & jewellery|24205|Production and refining of precious metals (such as gold, silver platinum etc.) and alloys|020101020102|Adani Group
5747|ADANI ENTERPRISES LTD.|30-06-2010|Interim financials|0101040401000000|Wholesale trading|46610|Wholesale of solid, liquid and gaseous fuels and related products|020101020102|Adani Group
